cycle_1_lane	cycle_2_lane	cycle_3_lane	fitness	clean_reads
6	18	12	1.8070	6.0000
6	18	14	0.7539	2.0000
6	19	1	0.1770	1.0000
6	19	5	0.8446	4.0000
6	19	7	131.4475	484.0000
6	19	11	28.9150	120.0000
6	19	18	0.2116	1.0000
6	20	18	3.9966	20.0000
7	1	11	1.9074	10.0000
7	1	19	0.2543	1.1761
7	2	4	0.0000	0.0000
7	2	6	0.0000	0.0000
7	2	8	0.1616	1.0000
7	2	9	4.0802	20.0000
7	2	16	0.1450	1.0000
7	2	19	0.2157	1.0000
7	3	1	0.2231	2.0000
7	3	3	0.5669	4.0000
7	3	5	0.2703	2.0000
7	3	6	0.2483	1.0000
7	3	7	0.7149	4.0000
7	3	8	0.1319	1.0000
7	3	9	0.6726	4.0000
7	3	10	0.1363	1.0000
7	3	11	0.3127	2.0000
7	3	12	0.8982	5.0000
7	3	13	0.3778	2.0000
7	3	14	1.3131	5.5839
7	3	16	0.3539	3.0000
7	3	17	0.5440	3.0000
7	3	19	0.3564	2.0000
7	3	20	0.8066	4.0000
7	4	4	0.1164	1.0000
7	6	15	1.0673	7.0000
7	6	18	0.5177	3.8052
7	7	18	4.1694	29.0000
7	7	19	0.3773	2.0000
7	8	6	5.5300	21.0000
7	8	8	0.1413	1.0000
7	8	12	0.1916	1.0000
7	8	14	32.3254	129.4652
7	9	8	0.2857	2.0000
7	9	10	0.0000	0.0000
7	9	19	0.0000	0.0000
7	9	20	0.0000	0.0000
7	10	8	0.1074	1.0000
7	10	20	0.1667	1.0000
7	11	2	0.0000	0.0000
7	11	10	0.0000	0.0000
7	11	15	6.9708	52.0000
7	11	17	0.1608	1.0000
7	11	19	0.1580	1.0000
7	12	2	0.1954	1.0000
7	12	4	1.1532	12.0000
7	12	7	0.1684	1.0000
7	12	8	0.1239	1.0000
7	12	10	0.1280	1.0000
7	12	12	0.1693	1.0000
7	12	14	0.4449	2.0000
7	12	18	0.1272	1.0000
7	12	19	0.3359	2.0000
7	13	7	0.2078	1.0000
7	13	8	0.1548	1.0000
7	13	11	0.3651	2.0000
7	14	5	0.2611	1.0000
7	14	9	0.3138	1.0000
7	14	10	0.5261	2.0000
7	14	12	0.3313	1.0000
7	14	13	0.6901	2.0000
7	14	16	0.4645	2.0000
7	14	17	1.0014	3.0000
7	14	19	0.3291	1.0000
7	15	17	1.6000	7.9399
7	16	3	0.1362	1.0000
